kind,name,line,dimen_or_index,within_or_default,has_derivation,already_loaded,references_variables,references,complexity,body_chars
set,period_commodity,125,,,True,False,False,commodity__param__period,simple,53
set,period_process,126,,,True,False,False,process__param__period,simple,51
set,periodAll,127,,,True,False,False,"branch,period_commodity,period_group,period_node,period_process,period_solve",multi_clause,106
param,p_group,129,"{g in group, groupParam}",0,False,False,False,,data_loaded,0
param,pd_group,132,"{g in group, groupPeriodParam, d in periodAll}",0,False,False,False,,data_loaded,0
param,pt_group,133,"{g in group, groupTimeParam, time}",0,False,True,False,,data_loaded,0
param,p_group__process,134,"{g in group, p in process, groupParam}",,False,False,False,,data_loaded,0
set,method_1var_off,135,,method,False,False,False,,data_loaded,0
set,method_1way_off,139,,method,False,False,False,,data_loaded,0
set,method_1way_LP,140,,method,False,False,False,,data_loaded,0
set,method_1way_MIP,141,,method,False,False,False,,data_loaded,0
set,method_2way_off,142,,method,False,False,False,,data_loaded,0
set,method_1way_1var_on,143,,method,False,False,False,,data_loaded,0
set,method_1way_nvar_on,144,,method,False,False,False,,data_loaded,0
set,method_1way,145,,method,False,False,False,,data_loaded,0
set,method_1way_1var,146,,method,False,False,False,,data_loaded,0
set,method_2way_1var,147,,method,False,False,False,,data_loaded,0
set,method_2way,148,,method,False,False,False,,data_loaded,0
set,method_2way_2var,149,,method,False,False,False,,data_loaded,0
set,method_2way_nvar,150,,method,False,False,False,,data_loaded,0
set,method_1way_on,151,,method,False,False,False,,data_loaded,0
set,method_2way_on,152,,method,False,False,False,,data_loaded,0
set,method_1var,153,,method,False,False,False,,data_loaded,0
set,method_nvar,154,,method,False,False,False,,data_loaded,0
set,method_off,155,,method,False,False,False,,data_loaded,0
set,method_on,156,,method,False,False,False,,data_loaded,0
set,method_LP,157,,method,False,False,False,,data_loaded,0
set,method_MIP,158,,method,False,False,False,,data_loaded,0
set,method_direct,159,,method,False,False,False,,data_loaded,0
set,method_indirect,160,,method,False,False,False,,data_loaded,0
set,method_1var_per_way,161,,method,False,False,False,,data_loaded,0
set,invest_method,162,,,False,False,False,,data_loaded,0
set,invest_method_not_allowed,164,,invest_method,False,False,False,,data_loaded,0
set,divest_method_not_allowed,165,,invest_method,False,False,False,,data_loaded,0
set,lifetime_method,166,,,False,False,False,,data_loaded,0
set,lifetime_method_default,167,,lifetime_method,False,False,False,,data_loaded,0
set,co2_method,168,,,False,False,False,,data_loaded,0
set,co2_price_method,169,,co2_method,False,False,False,,data_loaded,0
set,co2_max_period_method,170,,co2_method,False,False,False,,data_loaded,0
set,co2_max_total_method,171,,co2_method,False,False,False,,data_loaded,0
set,price_method,172,,,False,False,False,,data_loaded,0
set,entity__invest_method,173,2,"{entity, invest_method}",False,True,False,,data_loaded,0
set,entityDivest,174,,,True,False,False,"divest_method_not_allowed,entity__invest_method",simple,80
set,entityInvest,175,,,True,False,False,"entity__invest_method,invest_method_not_allowed",simple,80
set,entity__lifetime_method_read,176,2,"{entity, lifetime_method}",False,True,False,,data_loaded,0
set,entity__lifetime_method,177,,,True,False,False,"entity,entity__lifetime_method_read,lifetime_method,lifetime_method_default",joining,164
param,investableEntities,179,,,True,False,False,entityInvest,simple,24
set,group__invest_method,180,2,"{group, invest_method}",False,True,False,,data_loaded,0
set,group_invest,181,,,True,False,False,"group__invest_method,invest_method_not_allowed",simple,79
set,group_divest,182,,,True,False,False,"divest_method_not_allowed,group__invest_method",simple,79
set,group__co2_method,183,2,"{group, co2_method}",False,True,False,,data_loaded,0
set,group_co2_price,184,,,True,False,False,"co2_price_method,group__co2_method",simple,63
set,group_co2_max_period,185,,,True,False,False,"co2_max_period_method,group__co2_method",simple,68
set,group_co2_max_total,186,,,True,False,False,"co2_max_total_method,group__co2_method",simple,67
set,node_type,187,,,False,False,False,,data_loaded,0
param,p_node_type,188,{n in node},'balance',False,False,False,,data_loaded,0
set,nodeCommodity,189,,,True,False,False,"commodity,node,p_node_type",simple,42
set,nodeBalance,190,,,True,False,False,"balance,node,p_node_type",simple,70
set,nodeState,191,,,True,False,False,"node,p_node_type",simple,40
set,nodeBalancePeriod,192,,,True,False,False,"node,p_node_type",simple,54
set,inflow_method,193,,,False,False,False,,data_loaded,0
set,inflow_method_default,194,,inflow_method,False,False,False,,data_loaded,0
set,node__inflow_method_read,195,,"{node, inflow_method}",False,True,False,,data_loaded,0
set,node__inflow_method,196,2,"{node, inflow_method}",True,False,False,"inflow_method,inflow_method_default,node,node__inflow_method_read",joining,150
set,storage_binding_method,198,,,False,False,False,,data_loaded,0
set,storage_binding_method_default,199,,storage_binding_method,False,False,False,,data_loaded,0
set,node__storage_binding_method_read,200,,"{node, storage_binding_method}",False,True,False,,data_loaded,0
set,node__storage_binding_method,201,2,"{node, storage_binding_method}",True,False,False,"node,node__storage_binding_method_read,storage_binding_method,storage_binding_method_default",joining,186
set,storage_start_end_method,203,,,False,False,False,,data_loaded,0
set,node__storage_start_end_method,204,,"{node, storage_start_end_method}",False,True,False,,data_loaded,0
set,storage_solve_horizon_method,205,,,False,False,False,,data_loaded,0
set,node__storage_solve_horizon_method,206,,"{node, storage_solve_horizon_method}",False,True,False,,data_loaded,0
set,storage_nested_fix_method,207,,,False,False,False,,data_loaded,0
set,node__storage_nested_fix_method,208,,"{node, storage_nested_fix_method}",False,True,False,,data_loaded,0
set,rp_base__rep,209,2,,False,True,False,,data_loaded,0
set,rp_base_chain,212,2,,False,True,False,,data_loaded,0
set,rp_base_first,213,1,,False,True,False,,data_loaded,0
set,rp_base_last,214,1,,False,True,False,,data_loaded,0
set,rp_block_first,215,2,,False,True,False,,data_loaded,0
set,rp_block_last,216,2,,False,True,False,,data_loaded,0
set,rp_base_period,217,,,True,False,False,rp_base__rep,simple,32
set,rp_rep_period,218,,,True,False,False,rp_base__rep,simple,32
set,nodeState_rp,219,,,True,False,False,"nodeState,node__storage_binding_method",simple,84
set,period_block_time,220,3,,False,True,False,,data_loaded,0
set,period_block_succ,227,3,a,False,True,False,,data_loaded,0
set,period_block,228,,,True,False,False,period_block_time,simple,45
set,nodeStateBlock,229,,,True,False,False,"nodeState,node__storage_binding_method",simple,81
set,node__block,230,2,,False,True,False,,data_loaded,0
set,process_side,238,,,True,False,False,,simple,18
set,process__side__block,239,3,,False,True,False,,data_loaded,0
set,process__block,240,2,,False,True,False,,data_loaded,0
set,block__period__step,247,3,,False,True,False,,data_loaded,0
